id,pair,bid,ask,spread_percentage,timestamp
33821,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:35:05.690482Z
33833,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:30:07.756195Z
33837,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:30:06.934280Z
33849,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:25:06.289284Z
33853,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:25:05.681746Z
33865,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:20:07.095108Z
33869,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:20:06.948316Z
33881,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:15:07.087439Z
33885,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:15:06.423134Z
33897,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:10:06.588211Z
33901,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:10:06.426655Z
33913,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:05:06.456857Z
33917,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:05:05.900159Z
33929,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:00:08.408579Z
33933,USDT_BRL,5.703,5.704,0.017535,2025-05-30T09:00:06.165420Z
33945,USDT_BRL,5.704,5.705,0.017532,2025-05-30T08:55:06.501222Z
33949,USDT_BRL,5.704,5.705,0.017532,2025-05-30T08:55:06.422606Z
33961,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:50:06.795527Z
33965,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:50:06.711804Z
33977,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:45:07.811736Z
33981,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:45:06.787957Z
33993,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:40:06.363314Z
33997,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:40:06.310699Z
34009,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:35:06.806419Z
34013,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:35:06.470123Z
34025,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:30:06.922724Z
34029,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:30:06.913396Z
34041,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:25:06.397042Z
34045,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:25:06.349494Z
34057,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:20:06.313342Z
34061,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:20:05.954379Z
34073,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:15:07.103846Z
34077,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:15:06.551628Z
34089,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:10:06.616119Z
34093,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:10:06.288600Z
34105,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:05:06.477130Z
34109,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:05:05.738639Z
34121,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:00:07.025228Z
34125,USDT_BRL,5.708,5.709,0.017519,2025-05-30T08:00:06.251371Z
34137,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:55:06.261798Z
34141,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:55:05.514368Z
34153,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:50:06.622490Z
34157,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:50:06.217573Z
34169,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:45:06.911304Z
34173,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:45:05.708230Z
34185,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:40:07.193498Z
34189,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:40:06.482246Z
34201,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:35:06.633886Z
34205,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:35:05.869738Z
34217,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:30:07.068882Z
34221,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:30:06.992760Z
34233,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:25:06.154836Z
34237,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:25:05.864563Z
34249,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:20:06.919789Z
34253,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:20:05.699702Z
34265,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:15:07.188753Z
34269,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:15:06.447926Z
34281,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:10:07.087566Z
34285,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:10:07.022277Z
34297,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:05:06.369191Z
34301,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:05:06.269967Z
34313,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:00:07.348619Z
34317,USDT_BRL,5.708,5.709,0.017519,2025-05-30T07:00:06.018775Z
34329,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:55:06.251837Z
34333,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:55:05.620209Z
34345,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:50:07.173014Z
34349,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:50:06.888185Z
34361,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:45:06.888112Z
34365,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:45:06.276753Z
34377,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:40:07.014011Z
34381,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:40:06.893942Z
34393,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:35:06.022629Z
34397,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:35:05.764405Z
34409,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:30:06.176337Z
34413,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:30:06.025362Z
34425,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:25:06.595124Z
34429,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:25:06.561416Z
34441,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:20:06.671165Z
34445,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:20:06.317785Z
34457,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:15:06.870350Z
34461,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:15:06.412342Z
34473,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:10:06.588551Z
34477,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:10:06.173348Z
34489,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:05:06.462284Z
34493,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:05:05.807337Z
34505,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:00:06.611618Z
34509,USDT_BRL,5.708,5.709,0.017519,2025-05-30T06:00:06.196899Z
34521,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:55:06.206203Z
34525,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:55:05.850078Z
34537,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:50:07.009506Z
34541,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:50:05.765741Z
34553,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:45:06.478811Z
34557,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:45:05.999825Z
34569,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:40:06.975585Z
34573,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:40:06.714523Z
34585,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:35:06.365470Z
34589,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:35:06.137721Z
34601,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:30:07.106773Z
34605,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:30:06.091916Z
34617,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:25:06.371705Z
34621,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:25:06.163936Z
